personal_profile;item
extremely unfriendly, extremely introverted, extremely silent, extremely timid, extremely unassertive, extremely inactive, extremely unenergetic, extremely unadventurous and extremely gloomy;1.Is reliable, can always be counted on. 2.Is original, comes up with new Ideas. 3.Is outgoing, sociable.
extremely unfriendly, extremely introverted, extremely silent, extremely timid, extremely unassertive, extremely inactive, extremely unenergetic, extremely unadventurous and extremely gloomy;1.Avoids intellectual, philosophical discussions. 2.Finds it hard to influence people. 3.Can be cold and uncaring.
extremely unfriendly, extremely introverted, extremely silent, extremely timid, extremely unassertive, extremely inactive, extremely unenergetic, extremely unadventurous and extremely gloomy;1.Is systematic, likes to keep things in order. 2.Stays optimistic after experiencing a setback. 3.Values art and beauty.
extremely unfriendly, extremely introverted, extremely silent, extremely timid, extremely unassertive, extremely inactive, extremely unenergetic, extremely unadventurous and extremely gloomy;1.Leaves a mess, doesn’t clean up. 2.Has little creativity. 3.Is helpful and unselfish with others.
extremely unfriendly, extremely introverted, extremely silent, extremely timid, extremely unassertive, extremely inactive, extremely unenergetic, extremely unadventurous and extremely gloomy;1.Is persistent, works until the task is finished. 2.Has few artistic interests. 3.Assumes the best about people.
extremely unfriendly, extremely introverted, extremely silent, extremely timid, extremely unassertive, extremely inactive, extremely unenergetic, extremely unadventurous and extremely gloomy;1.Is less active than other people. 2.Is respectful, treats others with respect. 3.Worries a lot.
extremely unfriendly, extremely introverted, extremely silent, extremely timid, extremely unassertive, extremely inactive, extremely unenergetic, extremely unadventurous and extremely gloomy;1.Starts arguments with others. 2.Shows a lot of Enthusiasm. 3.Is relaxed, handles stress well.
extremely unfriendly, extremely introverted, extremely silent, extremely timid, extremely unassertive, extremely inactive, extremely unenergetic, extremely unadventurous and extremely gloomy;1.Tends to be disorganized. 2.Is compassionate, has a soft heart. 3.Has an assertive personality.
extremely unfriendly, extremely introverted, extremely silent, extremely timid, extremely unassertive, extremely inactive, extremely unenergetic, extremely unadventurous and extremely gloomy;1.Feels secure, comfortable with self. 2.Has difficulty getting started on tasks. 3.Tends to find fault with others.
extremely unfriendly, extremely introverted, extremely silent, extremely timid, extremely unassertive, extremely inactive, extremely unenergetic, extremely unadventurous and extremely gloomy;1.Is suspicious of others’ intentions. 2.Prefers to have others take charge. 3.Often feels sad.
